Training iter #50:   Batch Loss = 0.787423, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7130400538444519, Accuracy = 0.6304348111152649
Training iter #100:   Batch Loss = 0.785128, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7185834646224976, Accuracy = 0.6304348111152649
Training iter #200:   Batch Loss = 0.746478, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7865121364593506, Accuracy = 0.3913043439388275
Training iter #300:   Batch Loss = 0.761414, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7817221879959106, Accuracy = 0.3695652186870575
Training iter #400:   Batch Loss = 0.733212, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7676061391830444, Accuracy = 0.3695652186870575
Training iter #500:   Batch Loss = 0.745573, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7525683641433716, Accuracy = 0.41304346919059753
Training iter #600:   Batch Loss = 0.745733, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7343582510948181, Accuracy = 0.6304348111152649
Training iter #700:   Batch Loss = 0.757863, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7317062616348267, Accuracy = 0.6304348111152649
Training iter #800:   Batch Loss = 0.731337, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7293863892555237, Accuracy = 0.6304348111152649
Training iter #900:   Batch Loss = 0.737723, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7271912097930908, Accuracy = 0.6304348111152649
Training iter #1000:   Batch Loss = 0.728916, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7349424958229065, Accuracy = 0.532608687877655
Training iter #1100:   Batch Loss = 0.737209, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7398730516433716, Accuracy = 0.41304346919059753
Training iter #1200:   Batch Loss = 0.743862, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7523770332336426, Accuracy = 0.43478259444236755
Training iter #1300:   Batch Loss = 0.732487, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.756633996963501, Accuracy = 0.43478259444236755
Training iter #1400:   Batch Loss = 0.734552, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7454017996788025, Accuracy = 0.43478259444236755
Training iter #1500:   Batch Loss = 0.733443, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7479698657989502, Accuracy = 0.42391303181648254
Training iter #1600:   Batch Loss = 0.739272, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7456752061843872, Accuracy = 0.41304346919059753
Training iter #1700:   Batch Loss = 0.725735, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7431967854499817, Accuracy = 0.45652174949645996
Training iter #1800:   Batch Loss = 0.724697, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7509994506835938, Accuracy = 0.41304346919059753
Training iter #1900:   Batch Loss = 0.729324, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7566959261894226, Accuracy = 0.41304346919059753
Training iter #2000:   Batch Loss = 0.734845, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7724094390869141, Accuracy = 0.42391303181648254
Training iter #2100:   Batch Loss = 0.731178, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.771964967250824, Accuracy = 0.43478259444236755
Training iter #2200:   Batch Loss = 0.716483, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7519049644470215, Accuracy = 0.45652174949645996
Training iter #2300:   Batch Loss = 0.734491, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7513852715492249, Accuracy = 0.44565218687057495
Training iter #2400:   Batch Loss = 0.742465, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7495744824409485, Accuracy = 0.44565218687057495
Training iter #2500:   Batch Loss = 0.732443, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7492238879203796, Accuracy = 0.44565218687057495
Training iter #2600:   Batch Loss = 0.716278, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7585440278053284, Accuracy = 0.42391303181648254
Training iter #2700:   Batch Loss = 0.728687, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7638211250305176, Accuracy = 0.41304346919059753
Training iter #2800:   Batch Loss = 0.729937, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7738558053970337, Accuracy = 0.3913043439388275
Training iter #2900:   Batch Loss = 0.732949, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7717782855033875, Accuracy = 0.41304346919059753
Training iter #3000:   Batch Loss = 0.714705, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7623682022094727, Accuracy = 0.45652174949645996
Training iter #3100:   Batch Loss = 0.722320, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7649966478347778, Accuracy = 0.47826087474823
Training iter #3200:   Batch Loss = 0.742210, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7621976733207703, Accuracy = 0.46739131212234497
Training iter #3300:   Batch Loss = 0.717333, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7584097385406494, Accuracy = 0.5
Training iter #3400:   Batch Loss = 0.711145, Accuracy = 0.5799999833106995
