Training iter #50:   Batch Loss = 0.760868, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.8339576721191406, Accuracy = 0.3804347813129425
Training iter #100:   Batch Loss = 0.787102, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7870717644691467, Accuracy = 0.41304346919059753
Training iter #200:   Batch Loss = 0.782279, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7382636666297913, Accuracy = 0.5978260636329651
Training iter #300:   Batch Loss = 0.762901, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7605643272399902, Accuracy = 0.5
Training iter #400:   Batch Loss = 0.753316, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7533028721809387, Accuracy = 0.46739131212234497
Training iter #500:   Batch Loss = 0.739471, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7564362287521362, Accuracy = 0.5
Training iter #600:   Batch Loss = 0.767617, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7519317865371704, Accuracy = 0.489130437374115
Training iter #700:   Batch Loss = 0.762913, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7452690005302429, Accuracy = 0.532608687877655
Training iter #800:   Batch Loss = 0.743516, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7472805976867676, Accuracy = 0.52173912525177
Training iter #900:   Batch Loss = 0.749050, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7590373158454895, Accuracy = 0.5
Training iter #1000:   Batch Loss = 0.756921, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.754744827747345, Accuracy = 0.510869562625885
Training iter #1100:   Batch Loss = 0.769166, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7695866823196411, Accuracy = 0.489130437374115
Training iter #1200:   Batch Loss = 0.735721, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7474642395973206, Accuracy = 0.54347825050354
Training iter #1300:   Batch Loss = 0.748244, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.744314968585968, Accuracy = 0.532608687877655
Training iter #1400:   Batch Loss = 0.751436, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7468028664588928, Accuracy = 0.532608687877655
Training iter #1500:   Batch Loss = 0.749381, Accuracy = 0.5600000023841858
