Training iter #50:   Batch Loss = 0.876467, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7405622601509094, Accuracy = 0.6304348111152649
Training iter #100:   Batch Loss = 0.919318, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7343010902404785, Accuracy = 0.6304348111152649
Training iter #200:   Batch Loss = 0.788745, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7261391878128052, Accuracy = 0.6304348111152649
Training iter #300:   Batch Loss = 0.798358, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7208968997001648, Accuracy = 0.6304348111152649
Training iter #400:   Batch Loss = 0.796937, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7200927138328552, Accuracy = 0.6304348111152649
Training iter #500:   Batch Loss = 0.762973, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7266577482223511, Accuracy = 0.6304348111152649
Training iter #600:   Batch Loss = 0.756944, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7472039461135864, Accuracy = 0.5652173757553101
Training iter #700:   Batch Loss = 0.759581, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7736563086509705, Accuracy = 0.3804347813129425
Training iter #800:   Batch Loss = 0.737718, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.777827799320221, Accuracy = 0.3586956560611725
Training iter #900:   Batch Loss = 0.738869, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.78119957447052, Accuracy = 0.3695652186870575
Training iter #1000:   Batch Loss = 0.764834, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7780112624168396, Accuracy = 0.3695652186870575
Training iter #1100:   Batch Loss = 0.756845, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7747451066970825, Accuracy = 0.3695652186870575
Training iter #1200:   Batch Loss = 0.743746, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7732109427452087, Accuracy = 0.3695652186870575
Training iter #1300:   Batch Loss = 0.743629, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7704398036003113, Accuracy = 0.3695652186870575
Training iter #1400:   Batch Loss = 0.744409, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7677665948867798, Accuracy = 0.3695652186870575
Training iter #1500:   Batch Loss = 0.757648, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7658381462097168, Accuracy = 0.3695652186870575
Training iter #1600:   Batch Loss = 0.736602, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7632240056991577, Accuracy = 0.3695652186870575
Training iter #1700:   Batch Loss = 0.740973, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7613959312438965, Accuracy = 0.3695652186870575
