Training iter #50:   Batch Loss = 1.589014, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 1.1631147861480713, Accuracy = 0.6304348111152649
Training iter #100:   Batch Loss = 1.872036, Accuracy = 0.3799999952316284
PERFORMANCE ON TEST SET: Batch Loss = 1.1548253297805786, Accuracy = 0.6304348111152649
Training iter #200:   Batch Loss = 1.455123, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 1.1399435997009277, Accuracy = 0.6304348111152649
Training iter #300:   Batch Loss = 1.710247, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 1.1254011392593384, Accuracy = 0.6304348111152649
Training iter #400:   Batch Loss = 1.637683, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 1.109592318534851, Accuracy = 0.6304348111152649
Training iter #500:   Batch Loss = 0.808058, Accuracy = 0.7400000095367432
PERFORMANCE ON TEST SET: Batch Loss = 1.090778112411499, Accuracy = 0.6304348111152649
Training iter #600:   Batch Loss = 1.569841, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 1.066463828086853, Accuracy = 0.6304348111152649
Training iter #700:   Batch Loss = 1.386394, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 1.0261099338531494, Accuracy = 0.6304348111152649
Training iter #800:   Batch Loss = 1.320314, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.94624263048172, Accuracy = 0.6304348111152649
Training iter #900:   Batch Loss = 1.324142, Accuracy = 0.36000001430511475
PERFORMANCE ON TEST SET: Batch Loss = 0.7994799017906189, Accuracy = 0.6304348111152649
Training iter #1000:   Batch Loss = 0.822049, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7136892080307007, Accuracy = 0.6086956262588501
Training iter #1100:   Batch Loss = 0.741601, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.8076230883598328, Accuracy = 0.42391303181648254
Training iter #1200:   Batch Loss = 0.767784, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.9049142599105835, Accuracy = 0.3804347813129425
Training iter #1300:   Batch Loss = 1.036869, Accuracy = 0.23999999463558197
PERFORMANCE ON TEST SET: Batch Loss = 0.9362826347351074, Accuracy = 0.3804347813129425
Training iter #1400:   Batch Loss = 0.805056, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.95073401927948, Accuracy = 0.3695652186870575
Training iter #1500:   Batch Loss = 0.848654, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.9564804434776306, Accuracy = 0.3695652186870575
Training iter #1600:   Batch Loss = 0.821473, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.9532709121704102, Accuracy = 0.3695652186870575
Training iter #1700:   Batch Loss = 0.668638, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.9364330172538757, Accuracy = 0.3695652186870575
Training iter #1800:   Batch Loss = 0.808844, Accuracy = 0.5
